splitstackshape 1.4.8
sqldf 0.4-11
SQUAREM 2020.3
stable 1.1.4
stabledist 0.7-1
StanHeaders 2.21.0-6
stargazer 5.2.2
startupmsg 0.9.6
statip 0.2.3
statmod 1.4.34
statnet.common 4.3.0
stopwords 2.0
stringdist 0.9.6
stringi 1.4.6
stringr 1.4.0
strucchange 1.5-2
styler 1.3.2
subplex 1.6
summarytools 0.9.6
survey 4.0
survival 3.2-3
sys 3.4
systemfit 1.1-24
systemfonts 0.2.3
tables 0.9.3
tableschema.r 1.1.1
tcltk2 1.2-11
TeachingDemos 2.12
tensor 1.5
tensorflow 2.2.0
testthat 2.3.2
tframe 2015.12-1.1
tfruns 1.4
TH.data 1.0-10
tibble 3.0.3
tictoc 1.0
tidygraph 1.2.0
tidyr 1.1.1
tidyselect 1.1.0
tidystats 0.4.1
tidytext 0.2.5
tidyverse 1.3.0
tiff 0.1-5
timeDate 3043.102
timereg 1.9.6
timeSeries 3062.100
tinytex 0.25
titanic 0.1.0
tkrplot 0.0-24
tm 0.7-7
tmvnsim 1.0-2
tmvtnorm 1.4-10
tokenizers 0.2.1
tree 1.0-40
triangle 0.12
triebeard 0.3.0
truncdist 1.0-2
truncnorm 1.0-8
trust 0.1-8
tseries 0.10-47
tsibble 0.9.2
TSP 1.1-10
TTR 0.24.0
tuneR 1.3.3
tutorial 0.4.3
tweenr 1.0.1
ucminf 1.1-4
units 0.6-7
UpSetR 1.4.0
urca 1.3-0
urltools 1.7.3
usdm 1.1-18
usethis 1.6.1
UsingR 2.0-6
utf8 1.1.4
uuid 0.1-4
V8 3.2.0
vars 1.5-3
varSelRF 0.7-8
vcd 1.4-7
vctrs 0.3.2
vegan 2.5-6
VennDiagram 1.6.20
venneuler 1.1-0
VGAM 1.1-3
VIM 6.0.0
viridis 0.5.1
viridisLite 0.3.0
visdat 0.5.3
visNetwork 2.0.9
vtreat 1.6.1
waffle 0.7.0
wavethresh 4.6.8
webshot 0.5.2
wesanderson 0.3.6
whisker 0.4
withr 2.2.0
wordcloud 2.6
wrapr 2.0.2
wru 0.1-9
WVPlots 1.2.6
xfun 0.16
xgboost 1.1.1.1
xlsx 0.6.3
xlsxjars 0.6.1
XML 3.99-0.5
xml2 1.3.2
xopen 1.0.0
xray 0.2
xtable 1.8-4
xts 0.12-0
yaml 2.2.1
zeallot 0.1.0
zip 2.1.0
zoo 1.8-8
